Age,Sex,Wing,Weight,Year
A,F,132,106,2007
F,M,128,94,2007
F,F,125,100,2007
A,M,133,108,2007
A,M,132,104,2007
F,M,132,99,2007
F,M,132,104,2007
A,M,134,94,2008
A,M,130,108,2007
A,M,131,107,2007
F,M,129,103,2007
A,F,131,102,2007
F,F,123,94,2007
F,M,130,113,2007
F,M,127,108,2007
F,M,127,111,2007
A,M,135,103,2007
F,M,127,93,2007
A,M,129,103,2008
A,M,128,95,2008
A,M,128,93,2008
A,M,131,91,2011
F,M,133,94,2007
F,M,131,104,2007
A,M,135,100,2008
F,M,126,98,2007
A,M,131,98,2009
F,M,127,92,2007
A,M,132,100,2007
F,M,127,99,2007
J,U,,93,2007
J,M,,95,2007
F,M,130,93,2007
J,M,129,96,2007
F,M,127,99,2008
F,M,127,97,2008
A,M,131,114,2008
J,M,128,94,2007
F,M,128,118,2008
J,M,128,104,2007
F,M,128,114,2008
J,U,122,78,2007
J,U,128,103,2007
F,F,127,98,2008
A,F,131,109,2009
J,U,125,91,2007
J,F,123,95,2007
F,F,127,120,2007
F,F,124,97,2008
F,F,123,105,2008
U,F,125,101,2008
A,F,125,103,2009
A,F,125,102,2009
A,F,125,94,2011
A,F,127,96,2012
A,F,125,103,2012
A,F,125,96,2012
A,F,,103,2012
F,M,123,100,2007
F,M,123,102,2007
F,M,123,105,2007
F,M,123,105,2007
F,M,123,113,2007
F,M,123,112,2007
F,M,122,107,2008
F,M,123,109,2008
F,M,124,111,2008
F,M,123,104,2008
F,M,122,91,2008
F,M,122,95,2008
F,M,123,92,2008
F,M,122,92,2008
A,M,130,113,2008
A,M,130,102,2009
A,M,128,92,2010
A,M,128,97,2011
F,F,120,117,2007
F,F,121,91,2008
F,M,132,115,2007
F,F,122,99,2007
F,F,125,118,2007
F,F,127,115,2007
F,F,126,120,2007
A,M,141,141,2007
A,M,142,137,2007
A,M,143,134,2007
A,M,141,133,2008
A,M,142,126,2008
A,F,130,122,2007
A,M,133,116,2007
F,M,133,128,2007
F,M,132,121,2007
F,M,133,121,2008
F,M,133,124,2008
F,M,133,119,2008
A,M,138,134,2007
A,M,139,138,2007
A,M,137,132,2007
A,M,137,131,2008
A,M,137,103,2008
A,M,138,134,2008
A,M,143,131,2007
A,M,142,125,2008
A,M,131,107,2007
A,M,130,107,2009
A,M,131,100,2009
A,M,135,128,2007
F,M,129,130,2007
F,M,131,119,2007
F,M,133,130,2007
A,M,136,122,2007
F,M,134,132,2007
F,M,134,129,2007
F,M,130,123,2007
F,F,125,112,2007
F,M,132,122,2007
F,M,133,125,2007
F,M,133,119,2008
F,M,133,123,2008
F,M,132,115,2008
F,M,128,135,2007
F,M,127,108,2008
