Age,Sex,Wing,Weight,Year
A,M,133,97,2007
A,M,132,97,2007
F,M,132,110,2003
F,M,137,138,2003
A,F,131,121,2003
A,M,135,133,2003
A,M,136,136,2004
A,M,136,134,2004
A,M,136,138,2004
F,M,130,113,2003
A,M,134,118,2003
A,M,135,114,2004
A,M,134,117,2004
A,M,134,130,2004
F,M,131,107,2003
A,F,131,117,2003
F,F,128,113,2003
F,F,124,121,2003
F,M,127,112,2004
F,M,127,117,2004
F,M,126,106,2004
F,M,127,107,2004
A,F,130,133,2004
A,F,131,119,2004
A,F,133,127,2004
A,F,134,142,2004
A,F,133,124,2004
A,F,133,128,2004
A,F,134,114,2004
A,F,130,132,2004
F,M,130,127,2004
F,M,131,131,2004
F,M,131,128,2004
F,M,128,116,2004
F,F,122,101,2004
F,M,131,121,2004
F,M,135,129,2004
F,M,135,114,2004
A,M,130,132,2004
A,M,132,136,2004
F,M,131,124,2004
F,M,131,122,2004
F,M,131,119,2004
F,M,131,112,2004
A,M,132,111,2005
A,M,132,99,2005
F,F,120,99,2004
F,F,120,100,2004
F,F,121,88,2004
A,F,124,96,2005
A,F,124,89,2005
A,F,123,86,2005
A,F,125,96,2006
A,F,125,92,2007
A,F,126,91,2008
A,F,126,88,2008
A,F,125,93,2008
A,F,124,97,2009
A,F,126,89,2009
A,F,125,83,2009
A,F,127,90,2010
A,F,127,94,2010
A,F,124,84,2010
F,F,124,117,2004
F,F,128,118,2004
A,M,134,115,2004
A,M,134,113,2004
U,F,130,114,2004
U,F,130,112,2004
F,M,129,131,2004
F,M,129,128,2004
A,M,133,120,2005
F,M,133,117,2004
F,M,132,124,2004
F,M,132,114,2004
F,M,125,111,2004
F,F,128,106,2004
A,M,132,122,2004
A,M,131,129,2004
F,M,133,121,2004
A,F,133,118,2004
A,M,135,125,2004
A,F,134,128,2004
F,F,129,115,2004
A,F,133,117,2006
A,F,132,119,2004
A,M,138,101,2004
F,M,130,114,2004
F,M,129,110,2004
F,M,129,110,2004
A,M,135,138,2004
A,M,135,105,2004
A,M,137,122,2005
A,M,137,108,2005
F,F,129,93,2004
F,F,128,96,2004
F,F,127,94,2004
F,F,128,94,2004
F,M,130,113,2004
F,M,130,109,2004
A,F,126,109,2004
F,F,125,105,2004
F,M,134,118,2004
F,M,126,109,2004
F,M,126,97,2004
F,M,126,94,2004
A,F,127,115,2004
A,F,128,111,2006
A,F,129,106,2006
A,F,127,111,2008
A,F,128,100,2004
F,F,127,103,2004
A,M,133,114,1989
A,M,132,97,1990
A,F,126,100,1989
A,M,131,110,1989
A,M,131,95,1989
A,M,130,91,1989
A,M,131,94,1989
A,M,130,90,1989
A,M,133,96,1989
A,M,132,91,1989
A,M,133,92,1990
A,M,132,93,1990
A,M,,95,1990
A,M,133,96,1991
A,M,132,90,1991
A,M,130,96,1992
A,M,130,97,1992
A,M,132,112,1993
A,M,132,100,1993
A,M,131,88,1993
A,M,132,93,1994
A,M,132,89,1994
A,M,,116,1995
A,M,133,105,1995
A,M,,107,1995
A,M,133,92,1995
A,M,133,89,1995
A,M,129,105,1989
A,M,130,100,1990
A,F,125,109,1989
A,F,125,96,1989
A,F,125,95,1989
A,F,127,94,1989
A,F,125,83,1990
A,F,125,94,1990
U,F,131,110,1988
U,F,130,100,1989
U,F,131,98,1990
A,F,130,97,1990
A,F,130,108,1992
A,F,129,93,1992
J,F,127,100,1988
J,M,126,112,1988
J,F,123,96,1988
U,F,130,109,1988
A,F,130,121,1989
U,M,130,111,1988
A,M,134,100,1989
U,M,127,95,1988
A,M,130,93,1990
A,M,131,85,1989
A,M,130,89,1989
A,M,131,90,1991
F,M,128,99,1988
F,M,128,117,1988
F,M,128,107,1989
F,M,128,106,1989
F,M,127,107,1989
F,M,127,92,1989
A,M,131,90,1990
A,M,131,85,1990
A,M,,91,1990
A,M,132,98,1991
A,M,132,109,1992
U,M,136,105,1988
A,M,135,135,1989
U,F,128,89,1988
J,M,127,99,1988
F,F,129,94,1988
F,M,127,97,1988
F,M,127,106,1989
J,M,126,103,1988
F,M,126,112,1989
A,F,122,95,1988
A,F,124,83,1989
F,F,124,99,1988
F,F,122,106,1989
F,F,120,103,1989
A,F,128,95,1988
A,M,134,104,1988
A,M,133,96,1988
A,M,130,106,1988
A,F,127,112,1988
A,M,137,110,1988
F,F,126,119,1988
A,F,128,102,1995
F,M,128,111,1988
F,M,128,112,1988
F,M,128,111,1988
F,M,128,97,1989
F,M,128,94,1989
F,F,127,115,1988
F,F,126,105,1989
F,F,126,102,1989
F,F,126,99,1989
F,M,130,118,1988
A,F,135,112,1988
F,F,124,105,1988
F,F,125,102,1989
F,F,125,96,1989
F,F,124,98,1989
F,F,128,98,1988
A,M,133,110,1988
F,F,127,121,1989
F,F,126,97,1989
A,F,129,100,1990
A,F,131,104,1991
A,F,131,102,1992
A,F,130,94,1994
A,F,130,96,1995
A,F,127,112,1989
F,M,127,110,1989
A,F,133,113,1989
A,M,131,102,1989
A,M,131,93,1989
A,F,131,120,1989
F,F,123,103,1989
A,F,131,110,1989
F,M,123,107,1989
F,M,124,97,1989
A,F,127,115,1989
A,F,127,103,1989
F,M,131,108,1989
F,M,130,102,1989
A,M,137,108,1991
F,F,126,103,1989
F,M,131,96,1989
A,F,129,104,1989
F,M,126,97,1989
F,M,125,94,1989
F,M,124,98,1989
F,M,,93,1989
F,M,,91,1989
F,M,125,95,1989
F,M,,98,1989
F,M,127,117,1989
F,M,126,110,1989
F,M,,111,1989
A,M,133,133,1992
A,M,135,121,1992
A,M,135,118,1992
F,M,128,95,1989
F,M,127,107,1989
A,F,124,105,1989
A,F,124,100,1989
A,F,123,102,1989
A,F,127,105,1990
A,F,128,100,1990
U,F,127,101,1990
A,F,128,126,1991
A,F,,125,1991
U,F,,103,1991
A,F,129,101,1992
A,F,127,93,1993
A,F,130,113,1993
A,F,130,115,1993
A,F,136,108,1994
A,F,129,109,1994
A,F,129,108,1994
A,F,130,104,1995
A,F,130,105,1995
F,F,129,96,1989
F,M,126,94,1989
F,M,,90,1989
F,F,129,107,1989
F,M,135,99,1989
F,F,130,100,1989
F,F,124,104,1989
F,M,126,101,1989
F,M,127,100,1989
F,F,125,104,1989
A,F,128,96,1989
A,F,126,110,1989
J,M,128,103,1989
A,F,128,96,1989
J,M,131,95,1989
J,M,131,90,1989
J,M,125,86,1989
J,M,126,82,1989
J,M,127,79,1989
J,M,,80,1989
J,F,129,102,1989
